FHD: Sherlock Holmes (2009): 1280 x 720 | 2hr 8 mins
HD: Sherlock Holmes- A Game of Shadows (2011): 1280 x 528 | 2hr 8 mins
FHD: Shrek (2001): 1280 x 720 | 1hr 30 mins
FHD: Shrek 2 (2004): 1280 x 720 | 1hr 32 mins
FHD: Shrek The Third (2007): 1280 x 720 | 1hr 32 mins
HD: Silver Linings Playbook (2012): 1280 x 528 | 2hr 2 mins
HD: Sinister (2012): 1280 x 536 | 1hr 49 mins
HD: Skyfall (2012): 1280 x 536 | 2hr 23 mins
FHD: Sleepy Hollow (1999): 1280 x 720 | 1hr 39 mins
HD: Star Trek- Into Darkness (2013): 1280 x 534 | 2hr 12 mins
HD: Stardust (2007): 1280 x 532 | 2hr 7 mins
HD: Step Up 2- The Streets (2008): 1280 x 688 | 1hr 37 mins
HD: Step Up 3D (2010): 1280 x 688 | 1hr 47 mins
HD: Taken 2 (2012): 1280 x 536 | 1hr 38 mins
HD: Teenage Mutant Ninja Turtles (2014): 1280 x 536 | 1hr 41 mins
HD: The A-Team (2010): 1280 x 544 | 2hr 8 mins
FHD: The Adventures of Tintin- The Secret of the Unicorn (2011): 1920 x 816 | 1hr 46 mins
FHD: The Avengers (2012): 1280 x 720 | 2hr 22 mins
HD: The Bounty Hunter (2010): 1280 x 544 | 1hr 50 mins
HD: The Croods (2013): 1280 x 544 | 1hr 38 mins
HD: The Dark Knight (2008): 1280 x 528 | 2hr 32 mins
HD: The Dark Knight Rises (2012): 1280 x 528 | 2hr 44 mins
HD: The Lone Ranger (2013): 1280 x 534 | 2hr 29 mins
HD: The Notebook (2004): 1280 x 544 | 2hr 3 mins
HD: The Polar Express (2004): 1280 x 528 | 1hr 39 mins
FHD: The Princess Diaries (2001): 1280 x 720 | 1hr 51 mins
HD: The Rewrite (2014): 1280 x 536 | 1hr 47 mins
HD: The Right Kind of Wrong (2013): 1280 x 528 | 1hr 37 mins
HD: The Secret Life of Walter Mitty (2013): 1280 x 536 | 1hr 54 mins
FHD: The Smurfs (2011): 1280 x 720 | 1hr 42 mins
HD: The Smurfs 2 (2013): 1280 x 690 | 1hr 44 mins
FHD: The Terminal (2004): 1280 x 704 | 2hr 3 mins
FHD: Toy Story 2 (1999): 1692 x 720 | 1hr 32 mins
FHD: Toy Story 3 (2010): 1280 x 720 | 1hr 42 mins
HD: Unknown (2011): 1280 x 528 | 1hr 53 mins
HD: Valkyrie (2008): 1280 x 692 | 2hr 0 mins
HD: We're the Millers (2013): 1280 x 536 | 1hr 58 mins
HD: Wedding Crashers (2005): 1280 x 544 | 2hr 7 mins
FHD: What Women Want (2000): 1280 x 720 | 2hr 6 mins
FHD: Wrath of the Titans (2012): 1280 x 720 | 1hr 39 mins
